City Name,2023_Score_Max10000,2022_Score_Max7500,2020_Score_Max6000,2019_Score_5000,2018_Score,2017_Score,2016_Score,lat,lon
ULHASNAGAR,6593.857674,3491.8,3409.91,3382.059701,2904.415663,974,1190.857143,19.1865,73.1592
SHIKOHABAD (NPP),6593.857674,2596.47,3397.23,3382.059701,2904.415663,1092.744027,1190.857143,27.2215,79.5482
FIROZPUR,6593.857674,4645.1,3389.71,3382.059701,2904.415663,1092.744027,1190.857143,31.363,74.5838
AYODHYA,6593.857674,3986.09,3375.5,3382.059701,2904.415663,1092.744027,1190.857143,26.788,81.8581
GANDHIDHAM,6593.857674,2023.12,3372.8,3382.059701,2904.415663,1333,1190.857143,23.0772,70.115
TADIPATRI,6593.857674,3073.39,3368.8,3382.059701,2904.415663,1529,1190.857143,14.6131,77.6017
PORBANDAR,6593.857674,3492.94,3364.11,3382.059701,2904.415663,1032,1190.857143,21.64,69.6053
LANSDOWNE CANTT,6593.857674,2662.25,3210.12,3382.059701,2904.415663,1092.744027,1190.857143,29.85,78.7
VARANASI CANTT.,6593.857674,2784.43,3148.1,3382.059701,2904.415663,1092.744027,1190.857143,25.3176,82.9739
JHANSI CANTT.,6593.857674,2156.31,3084.71,3382.059701,2904.415663,1092.744027,1190.857143,25.4481,78.5684
MHOW CANTT,6593.857674,5244.16,2980.03,3382.059701,2904.415663,1092.744027,1190.857143,22.5881,75.6861
DEHUROAD CANTT,6593.857674,2409.21,2942.98,3382.059701,2904.415663,1092.744027,1190.857143,18.595,73.9347
DALHOUSIE CANTT.,6593.857674,772.44,2919.9,3382.059701,2904.415663,1092.744027,1190.857143,32.6012,76.0989
ST THOMAS MOUNT CANTT,6593.857674,1430.32,2911.4,3382.059701,2904.415663,1092.744027,1190.857143,13.022,80.2369
MATHURA CANTT.,6593.857674,2757.72,2909.02,3382.059701,2904.415663,1092.744027,1190.857143,27.4919,77.6684
